Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0603_1608Metric",-15.341600,3.149600,-90.000000,bottom
"C2","22uF","C_0805_2012Metric",-1.854200,-2.438400,180.000000,bottom
"C3","22uF","C_0805_2012Metric",-1.803400,2.438400,180.000000,bottom
"C4","18pF","C_0603_1608Metric",-14.859000,-3.200400,90.000000,bottom
"C5","18pF","C_0603_1608Metric",-20.066000,-3.098800,90.000000,bottom
"IC1","ESP32-S2FN4R2","QFN40P700X700X90-57N-D",-10.261600,-0.101600,90.000000,bottom
"R2","10k","R_0603_1608Metric",-20.370800,0.406400,-90.000000,bottom
"R3","10K","R_0603_1608Metric",-19.151600,0.406400,-90.000000,bottom
"R5","5.1k","R_0603_1608Metric",-4.114800,-3.556000,-90.000000,bottom
"U2","AP2112K-3.3","SOT-23-5",-1.752600,-0.050800,180.000000,bottom
"U3","ATECC608A-MAHDA","DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm",-17.195800,1.651000,90.000000,bottom
"U4","KXTJ3-1057","Kionix_LGA-12_2x2mm_P0.5mm_LayoutBorder2x4y",-19.608800,3.124200,90.000000,bottom
"Y1","40MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-17.475200,-2.946400,0.000000,bottom
"C6","1uF","C_0603_1608Metric",9.499600,3.149600,0.000000,top
"C8","1uF","C_0603_1608Metric",8.788400,-1.930400,90.000000,top
"C9","0.1uF","C_0603_1608Metric",9.550400,0.762000,0.000000,top
"C10","0.1uF","C_0603_1608Metric",10.007600,-1.930400,90.000000,top
"D1","WS2812B-2020","WS2812B2020",15.637612,-0.051400,-90.000000,top
"D2","WS2812B-2020","WS2812B2020",18.177600,-0.102200,-90.000000,top
"D3","WS2812B-2020","WS2812B2020",20.582800,-0.051400,90.000000,top
"FB1","100","R_0603_1608Metric",11.176000,-1.930400,90.000000,top
"J1","C2927038","USB_C_Receptacle_XKB_U262-16XN-4BVC11",2.743200,0.000000,-90.000000,top
"R1","10k","R_0603_1608Metric",12.446000,-1.930400,-90.000000,top
"R4","5.1k","R_0603_1608Metric",9.550400,1.930400,0.000000,top
"S1","TS24CA","TS24CA",24.079200,0.088000,-90.000000,top
"fiducial","Fiducial_0.5mm_Mask1.5mm","Fiducial_0.5mm_Mask1.5mm",0.000000,0.000000,0.000000,top
