"Id";"Identificador";"Paquete";"Cantidad";"Identificación";"Suministrador y ref";
1;"fiducial";"Fiducial_0.5mm_Mask1.5mm";1;"Fiducial_0.5mm_Mask1.5mm";;;
2;"D2,D1,D3";"WS2812B2020";3;"WS2812B-2020";;;
3;"FB1";"R_0603_1608Metric";1;"100";;;
4;"J1";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"C2927038";;;
5;"C6,C8";"C_0603_1608Metric";2;"1uF";;;
6;"BT1";"TestPoint_Pad_D1.0mm";1;"BOOT";;;
7;"RX1";"TestPoint_Pad_D1.0mm";1;"RX";;;
8;"R1,R2";"R_0603_1608Metric";2;"10k";;;
9;"C9,C10,C1";"C_0603_1608Metric";3;"0.1uF";;;
10;"R4,R5";"R_0603_1608Metric";2;"5.1k";;;
11;"TX1";"TestPoint_Pad_D1.0mm";1;"TX";;;
12;"S1";"TS24CA";1;"TS24CA";;;
13;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"40MHz";;;
14;"U3";"DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm";1;"ATECC608A-MAHDA";;;
15;"U4";"Kionix_LGA-12_2x2mm_P0.5mm_LayoutBorder2x4y";1;"KXTJ3-1057";;;
16;"C5,C4";"C_0603_1608Metric";2;"18pF";;;
17;"R3";"R_0603_1608Metric";1;"10K";;;
18;"C2,C3";"C_0805_2012Metric";2;"22uF";;;
19;"IC1";"QFN40P700X700X90-57N-D";1;"ESP32-S2FN4R2";;;
20;"U2";"SOT-23-5";1;"AP2112K-3.3";;;
